FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig4\SimPlot\AlignAllNobecoMinusInsertion.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Reps: 100, Kimura (2-parameter), T/t: 2.0, Neighbor-Joining
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China","HM211099_1_HKU_9_5_1_Rousettus_leschenaulti_China","HM211098_1_HKU_9_5_1_Rhinolphus_sinicus_China","MG762674_1_HKU9_Rousettus_sp_China","MG693170_1_Eidolon_helvum_Cameroon","EF065514_1_HKU_9_2_Rousettus_leschenaulti_China","HM211100_1_HKU_9_10_1_Rousettus_leschenaulti_China","EF065515_1_HKU_9_3_Rousettus_leschenaulti_China","EF065516_1_HKU_9_4_Rousettus_leschenaulti_China"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon","MG693172_1_Eidolon_helvum_Cameroon","MG693171_1_Eidolon_helvum_Cameroon","MG693169_1_Eidolon_helvum_Cameroon"
"Ref","Rousettus_madagascariensis","Rousettus_madagascariensis_RR034B_232_fecRa_MIZ178_new","Rousettus_madagascariensis_RR034B_288_fecRa_MIZ240_new"
"23160","100","0","0"
"23180","100","0","0"
"23200","100","0","0"
"23220","100","0","0"
"23240","100","0","0"
"23260","100","0","0"
"23280","100","0","0"
"23300","96","2","2"
"23320","99","1","0"
"23340","100","0","0"
"23360","98","1","1"
"23380","84","11","5"
"23400","85","13","2"
"23420","72","27","1"
"23440","73","26","1"
"23460","73","27","0"
"23480","51","49","0"
"23500","36","63","1"
"23520","39","53","8"
"23540","13","78","9"
"23560","56","44","0"
"23580","70","26","4"
"23600","72","24","4"
"23620","46","54","0"
"23640","34","62","4"
"23660","43","55","2"
"23680","49","44","7"
"23700","71","21","8"
"23720","74","26","0"
"23740","98","2","0"
"23760","67","27","6"
"23780","59","29","12"
"23800","89","8","3"
"23820","97","0","3"
"23840","98","0","2"
"23860","99","0","1"
"23880","99","0","1"
"23900","100","0","0"
"23920","99","0","1"
"23940","97","3","0"
"23960","99","1","0"
"23980","98","1","1"
"24000","84","2","14"
"24020","85","11","4"
"24040","94","6","0"
"24060","71","24","5"
"24080","49","45","6"
"24100","48","40","12"
"24120","76","21","3"
"24140","91","6","3"
"24160","88","12","0"
"24180","89","11","0"
"24200","92","7","1"
"24220","81","14","5"
"24240","96","4","0"
"24260","98","1","1"
"24280","94","6","0"
"24300","99","1","0"
"24320","99","0","1"
"24340","90","6","4"
"24360","88","9","3"
"24380","76","11","13"
"24400","96","3","1"
"24420","89","11","0"
"24440","74","23","3"
"24460","80","14","6"
"24480","91","5","4"
"24500","86","4","10"
"24520","91","1","8"
"24540","97","0","3"
"24560","96","2","2"
"24580","99","1","0"
"24600","96","2","2"
"24620","96","2","2"
"24640","96","0","4"
"24660","99","0","1"
"24680","100","0","0"
"24700","99","0","1"
"24720","90","0","10"
"24740","75","1","24"
"24760","71","0","29"
"24780","74","0","26"
"24800","91","0","9"
"24820","95","0","5"
"24840","94","0","6"
"24860","95","0","5"
"24880","94","0","6"
"24900","94","0","6"
"24920","100","0","0"
"24940","100","0","0"
"24960","95","4","1"
"24980","90","8","2"
"25000","93","7","0"
"25020","74","22","4"
"25040","92","8","0"
"25060","67","31","2"
"25080","71","20","9"
"25100","74","23","3"
"25120","74","23","3"
"25140","63","23","14"
"25160","75","10","15"
"25180","89","6","5"
"25200","72","25","3"
"25220","88","12","0"
"25240","66","32","2"
"25260","98","2","0"
"25280","97","3","0"
"25300","97","3","0"
"25320","99","1","0"
"25340","100","0","0"
"25360","100","0","0"
"25380","100","0","0"
"25400","100","0","0"
"25420","100","0","0"
"25440","100","0","0"
"25460","100","0","0"
"25480","100","0","0"
"25500","100","0","0"
"25520","100","0","0"
"25540","100","0","0"
"25560","100","0","0"
"25580","100","0","0"
"25600","99","0","1"
"25620","100","0","0"
"25640","100","0","0"
"25660","100","0","0"
"25680","100","0","0"
"25700","100","0","0"
"25720","99","1","0"
"25740","100","0","0"
"25760","100","0","0"
"25780","100","0","0"
"25800","100","0","0"
"25820","99","1","0"
"25840","100","0","0"
"25860","100","0","0"
"25880","100","0","0"
"25900","99","1","0"
"25920","99","1","0"
"25940","99","1","0"
"25960","99","1","0"
"25980","100","0","0"
"26000","100","0","0"
"26020","100","0","0"
"26040","100","0","0"
"26060","100","0","0"
"26080","99","1","0"
"26100","99","1","0"
"26120","100","0","0"
"26140","100","0","0"
"26160","100","0","0"
"26180","100","0","0"
"26200","100","0","0"
"26220","100","0","0"
"26240","100","0","0"
"26260","100","0","0"
"26280","100","0","0"
"26300","100","0","0"
"26320","100","0","0"
"26340","100","0","0"
"26360","100","0","0"
"26380","100","0","0"
"26400","100","0","0"
"26420","100","0","0"
"26440","100","0","0"
"26460","100","0","0"
"26480","96","0","4"
"26500","100","0","0"
"26520","100","0","0"
"26540","100","0","0"
"26560","100","0","0"
"26580","100","0","0"
"26600","96","0","4"
"26620","96","0","4"
"26640","95","0","5"
"26660","98","0","2"
"26680","98","0","2"
"26700","100","0","0"
"26720","100","0","0"
"26740","100","0","0"
"26760","100","0","0"
"26780","100","0","0"
"26800","100","0","0"
"26820","100","0","0"
"26840","100","0","0"
"26860","100","0","0"
"26880","100","0","0"
"26900","100","0","0"
"26920","100","0","0"
"26940","100","0","0"
"26960","100","0","0"
"26980","100","0","0"
"27000","100","0","0"
"27020","100","0","0"
"27040","100","0","0"
"27060","100","0","0"
"27080","100","0","0"
"27100","100","0","0"
"27120","100","0","0"
"27140","100","0","0"
"27160","100","0","0"
"27180","100","0","0"
"27200","100","0","0"
"27220","100","0","0"
"27240","100","0","0"
"27260","100","0","0"
"27280","100","0","0"
"27300","100","0","0"
"27320","100","0","0"
"27340","96","3","1"
"27360","89","2","9"
"27380","87","5","8"
"27400","77","9","14"
"27420","80","4","16"
"27440","42","14","44"
"27460","47","19","34"
"27480","36","30","34"
"27500","54","15","31"
"27520","58","7","35"
"27540","84","2","14"
"27560","97","1","2"
"27580","100","0","0"
"27600","98","0","2"
"27620","100","0","0"
"27640","99","1","0"
"27660","100","0","0"
"27680","98","2","0"
"27700","99","1","0"
"27720","100","0","0"
"27740","100","0","0"
"27760","100","0","0"
"27780","100","0","0"
"27800","100","0","0"
"27820","100","0","0"
"27840","100","0","0"
"27860","100","0","0"
"27880","100","0","0"
"27900","100","0","0"
"27920","100","0","0"
"27940","100","0","0"
"27960","100","0","0"
"27980","100","0","0"
"28000","100","0","0"
"28020","100","0","0"
"28040","100","0","0"
"28060","100","0","0"
"28080","93","7","0"
"28100","96","4","0"
"28120","83","17","0"
"28140","97","3","0"
"28160","78","22","0"
"28180","80","20","0"
"28200","75","25","0"
"28220","91","9","0"
"28240","91","6","3"
"28260","96","1","3"
"28280","99","0","1"
"28300","98","1","1"
"28320","100","0","0"
"28340","99","0","1"
"28360","99","0","1"
"28380","100","0","0"
"28400","100","0","0"
"28420","100","0","0"
"28440","100","0","0"
"28460","100","0","0"
"28480","100","0","0"
"28500","100","0","0"
"28520","100","0","0"
"28540","100","0","0"
"28560","99","1","0"
"28580","96","1","3"
"28600","89","5","6"
"28620","82","3","15"
"28640","86","2","12"
"28660","83","2","15"
"28680","88","2","10"
"28700","89","1","10"
"28720","92","0","8"
"28740","87","2","11"
"28760","97","1","2"
"28780","87","10","3"
"28800","73","15","12"
"28820","49","44","7"
"28840","30","59","11"
"28860","39","56","5"
"28880","38","47","15"
"28900","26","72","2"
"28920","30","59","11"
"28940","23","70","7"
"28960","26","71","3"
"28980","25","72","3"
"29000","30","60","10"
"29020","26","44","30"
"29040","26","61","13"
"29060","18","63","19"
"29080","32","46","22"
"29100","61","35","4"
"29120","69","31","0"
"29140","84","13","3"
"29160","73","23","4"
"29180","87","10","3"
"29200","96","3","1"
"29220","86","11","3"
"29240","93","1","6"
"29260","93","6","1"
"29280","73","18","9"
"29300","42","27","31"
"29320","44","17","39"
"29340","57","19","24"
"29360","55","35","10"
"29380","36","61","3"
"29400","14","82","4"
"29420","27","72","1"
"29440","30","69","1"
"29460","10","90","0"
"29480","21","78","1"
"29500","10","90","0"
"29520","1","98","1"
"29540","5","95","0"
"29560","4","95","1"
"29580","10","89","1"
"29600","1","91","8"
"29620","3","94","3"
"29640","0","94","6"
"29660","1","99","0"
"29680","10","87","3"
"29700","86","13","1"
"29720","95","5","0"
"29740","90","5","5"
"29760","76","8","16"
"29780","73","4","23"
"29800","86","2","12"
"29820","94","0","6"
"29840","92","0","8"
"29860","99","0","1"
"29880","89","0","11"
"29900","71","0","29"
"29920","62","0","38"
"29940","61","12","27"
"29960","51","9","40"
"29980","70","5","25"
"30000","52","22","26"
"30020","72","23","5"
"30040","57","12","31"
"30060","30","53","17"
"30080","48","40","12"
"30100","62","21","17"
"30120","52","44","4"
"30140","62","29","9"
"30160","67","32","1"
"30180","82","16","2"
"30200","87","11","2"
"30220","90","10","0"
"30240","99","1","0"
"30260","100","0","0"
"30280","100","0","0"
"30300","100","0","0"
"30320","100","0","0"
"30340","100","0","0"
"30360","100","0","0"
"30380","100","0","0"
"30400","100","0","0"
"30420","100","0","0"
