FileName: \\Mac\Home\Documents\R\R_repositories\Mada-Bat-CoV\Fig2\AAAlignmentWNS7.fasta
Window: 200 bp, Step: 20 bp, GapStrip: On, Kimura (2-parameter), T/t: 2.0
This output generated using SimPlot v3.5.1 - software Copyright © 1997-2003 Stuart C. Ray - JHU

"Status","Group","Members"
"Query","Rousettus_madagascariensis"
"Ref","Eidolon_helvum","NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1a_-_NC_048212_1_Eidolon_helvum_Cameroon_-_ORF1b_-_NC_048212_1_Eidolon_helvum_Cameroon_-_S_-_NC_048212_1_Eidolon_helvum_Cameroon_-_NS3_-_NC_048212_1_Eidolon_helvum_Cameroon_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","GX2018-BtCoV92","MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1a_-_MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_ORF1b_-_MK492263_1_BatCoV92_Cynopteris_brachyotis_Singapore_-_S_and_4_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"
"Ref","Pteropus_rufus","Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1a_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_ORF1b_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_S_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_NS3_-_Pteropus_rufus_RR034B_010_fecRa_AMB130_-_E_and_2_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","HKU9","NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1a_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_ORF1b_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_S_-_NC_009021_1_HKU9_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_2_other_sequences"
"Ref","GCCDC1","NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1a_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_ORF1b_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_S_-_NC_030886_GCCDC1_356_Rousettus_leschenaulti_China_-_NS3_and_3_other_sequences_-_ORF1a_translation_and_6_other_sequences_and_3_other_sequences"


"CenterPos","Eidolon_helvum","GX2018-BtCoV92","Pteropus_rufus","HKU9","GCCDC1"
"9321","0.97","0.84","0.87","0.90","0.80"
"9341","0.97","0.84","0.87","0.90","0.80"
"9361","0.97","0.84","0.87","0.90","0.80"
"9381","0.97","0.84","0.87","0.90","0.80"
"9401","0.97","0.84","0.87","0.90","0.80"
"9421","0.97","0.84","0.87","0.90","0.80"
"9441","0.97","0.84","0.87","0.90","0.80"
"9461","0.97","0.84","0.87","0.90","0.80"
"9481","0.97","0.84","0.87","0.90","0.80"
"9501","0.97","0.84","0.87","0.90","0.80"
"9521","0.97","0.84","0.87","0.90","0.80"
"9541","0.97","0.84","0.87","0.90","0.80"
"9561","0.97","0.84","0.87","0.90","0.80"
"9581","0.97","0.84","0.87","0.90","0.80"
"9601","0.97","0.84","0.87","0.90","0.80"
"9621","0.97","0.84","0.87","0.90","0.80"
"9641","0.97","0.84","0.87","0.90","0.80"
"9661","0.97","0.84","0.87","0.90","0.80"
"9681","0.97","0.84","0.87","0.90","0.80"
"9701","0.97","0.84","0.87","0.90","0.80"
"9721","0.97","0.84","0.87","0.90","0.80"
"9741","0.97","0.84","0.87","0.90","0.80"
"9761","0.97","0.84","0.87","0.90","0.80"
"9781","0.97","0.84","0.87","0.90","0.80"
"9801","0.97","0.84","0.87","0.90","0.80"
"9821","0.97","0.84","0.87","0.90","0.80"
"9841","0.97","0.84","0.87","0.90","0.80"
"9861","0.97","0.84","0.87","0.90","0.80"
"9881","0.97","0.84","0.87","0.90","0.80"
"9901","0.97","0.84","0.87","0.90","0.80"
"9921","0.97","0.84","0.87","0.90","0.80"
"9941","0.97","0.84","0.87","0.90","0.80"
"9961","0.97","0.84","0.87","0.90","0.80"
"9981","0.97","0.84","0.87","0.90","0.80"
"10001","0.97","0.84","0.87","0.90","0.80"
"10021","0.97","0.84","0.87","0.90","0.80"
"10041","0.97","0.84","0.87","0.90","0.80"
"10061","0.97","0.84","0.87","0.90","0.80"
"10081","0.97","0.84","0.87","0.90","0.80"
"10101","0.97","0.84","0.87","0.90","0.80"
"10121","0.97","0.84","0.87","0.90","0.80"
